Artist,Track,Featuring Artist,Streams,Album,Release Date,Album Cover,Artist Image
Denzel Curry,SUMO | ZUMO,0,57,TA13OO,2018-07-27,https://i.scdn.co/image/ab67616d0000b2737d05dd3ebb77cc048d66b294,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,SUPER SAIYAN SUPERMAN | ZUPER ZA1YAN ZUPERMAN,0,54,TA13OO,2018-07-27,https://i.scdn.co/image/ab67616d0000b2737d05dd3ebb77cc048d66b294,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,SWITCH IT UP | ZWITCH 1T UP,0,53,TA13OO,2018-07-27,https://i.scdn.co/image/ab67616d0000b2737d05dd3ebb77cc048d66b294,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,MAD I GOT IT | MAD 1 GOT 1T,0,50,TA13OO,2018-07-27,https://i.scdn.co/image/ab67616d0000b2737d05dd3ebb77cc048d66b294,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,SIRENS | Z1RENZ [FEAT. J.I.D | J.1.D],1,56,TA13OO,2018-07-27,https://i.scdn.co/image/ab67616d0000b2737d05dd3ebb77cc048d66b294,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,CLOUT COBAIN | CLOUT CO13A1N,0,66,TA13OO,2018-07-27,https://i.scdn.co/image/ab67616d0000b2737d05dd3ebb77cc048d66b294,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,THE BLACKEST BALLOON | THE 13LACKEZT 13ALLOON,0,48,TA13OO,2018-07-27,https://i.scdn.co/image/ab67616d0000b2737d05dd3ebb77cc048d66b294,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,PERCS | PERCZ,0,54,TA13OO,2018-07-27,https://i.scdn.co/image/ab67616d0000b2737d05dd3ebb77cc048d66b294,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,VENGEANCE | VENGEANCE [FEAT. JPEGMAFIA & ZILLAKAMI | JPEGMAF1A + Z1LLAKAM1],1,58,TA13OO,2018-07-27,https://i.scdn.co/image/ab67616d0000b2737d05dd3ebb77cc048d66b294,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,BLACK METAL TERRORIST | 13 M T,0,52,TA13OO,2018-07-27,https://i.scdn.co/image/ab67616d0000b2737d05dd3ebb77cc048d66b294,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
